prompt_id,category,model,n_samples,hivemind_score,embedding_similarity,ast_similarity,naming_similarity,ngram_similarity,pattern_entropy,unique_pattern_sets,library_entropy,unique_import_sets
OD-05,OPEN_DESIGN,GPT-4o-mini,4,0.6869928135154091,0.0,1.0,1.0,0.9132854234040004,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-05,OPEN_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-05,OPEN_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-05,OPEN_DESIGN,o3-mini,4,0.45711122149278843,0.0,0.8259641038079067,0.6413805979595453,0.32924453391948294,0.8112781241705938,2,1.9999999994229218,4
RF-01,REFACTOR,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-01,REFACTOR,Claude Sonnet 4,4,0.584867748990526,0.0,1.0,0.7481481481481481,0.5682541290405819,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-01,REFACTOR,GPT-4o,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-01,REFACTOR,GPT-4o-mini,4,0.6111856982299075,0.0,0.9814814814814814,0.831818181818182,0.8432953042328042,0.8112781241705938,2,-1.4426951601859516e-10,1
RF-01,REFACTOR,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-01,REFACTOR,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-01,REFACTOR,o3-mini,4,0.51570907373389,0.0,0.9506172839506174,0.4759259259259259,0.5524637837082763,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-02,REFACTOR,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-02,REFACTOR,Claude Sonnet 4,4,0.274906390796594,0.0,0.0,0.7336772610988401,0.5211395904159937,1.4999999995671913,3,-1.4426951601859516e-10,1
RF-02,REFACTOR,GPT-4o,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-02,REFACTOR,GPT-4o-mini,4,0.4574627911326841,0.0,0.16666666666666666,0.9147018970189702,0.88570496704943,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-02,REFACTOR,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-02,REFACTOR,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-02,REFACTOR,o3-mini,4,0.29665861969207746,0.0,0.0,0.7245020062986561,0.5253388171424401,0.8112781241705938,2,-1.4426951601859516e-10,1
RF-03,REFACTOR,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-03,REFACTOR,Claude Sonnet 4,4,0.47159339260838484,0.0,0.8857165989518933,0.6302380952380952,0.4941108253891036,1.4999999995671913,3,0.8112781241705938,2
RF-03,REFACTOR,GPT-4o,4,0.6568348760872217,0.0,0.9733333333333333,0.9215686274509803,0.8612521150592217,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-03,REFACTOR,GPT-4o-mini,4,0.6667095851264112,0.0,1.0,0.9333333333333332,0.8669527896995707,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
RF-03,REFACTOR,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
